subway,lon,lat
华强路地铁站,114.09163329502327,22.54636941239971
岗厦地铁站,114.07338239542337,22.540786761215436
会展中心地铁站,114.06890707396083,22.540415663177654
购物公园地铁站,114.06101568127384,22.54004730488332
香蜜湖地铁站,114.0451490122887,22.544734038603252
车公庙地铁站,114.0319752359341,22.540826923827634
竹子林地铁站,114.02009368841809,22.539784361163928
侨城东地铁站,114.00306497399055,22.53873889795717
益田地铁站,114.05753238807469,22.52197932793294
石厦地铁站,114.06016126484458,22.529381110758663
少年宫地铁站,114.06744656873792,22.553087817529793
莲花村地铁站,114.07438005193113,22.554329975505386
华新地铁站,114.09315508852293,22.55491922827678
通新岭地铁站,114.10274060099991,22.555234324891646
红岭地铁站,114.10964139302462,22.55543105211114
福田口岸地铁站,114.07581834074897,22.521431500102754
福民地铁站,114.07161814349719,22.527984231251214
市民中心地铁站,114.06824078729883,22.548141073875883
莲花北地铁站,114.06597020053738,22.566196098717953
上梅林地铁站,114.06601789965985,22.576121990582894
安托山地铁站,114.01266105691558,22.555106798225317
农林地铁站,114.0245788641209,22.546606776846872
上沙地铁站,114.04200436025242,22.53051104550219
沙尾地铁站,114.0491029632199,22.52658517131885
皇岗村地铁站,114.06637219777467,22.528792208050195
皇岗口岸地铁站,114.08072294980775,22.527464466328947
赤尾地铁站,114.09010066584932,22.537257546132082
华强南地铁站,114.09331795054989,22.543153760633704
华强北地铁站,114.09191481415965,22.5503567659669
华新地铁站,114.09315508852293,22.55491922827678
黄木岗地铁站,114.0937853676918,22.56179358234444
八卦岭地铁站,114.10156320085434,22.568030350131114
红岭北地铁站,114.1107709670166,22.568263627929678
笋岗地铁站,114.11752691706148,22.569597366862254
景田地铁站,114.0498758805899,22.559199695011888
莲花西地铁站,114.05658002705572,22.552368892216936
岗厦北地铁站,114.07448937449325,22.546635717398033
华强北地铁站,114.09191481415965,22.5503567659669
燕南地铁站,114.09903775465006,22.55058395322078
